EventSID,DateSID,LocationSID,EventDesc,PackedLunchCount,EffectToMealCount
1,20160810,1,anonymized,,
2,20160810,1,anonymized,,
3,20160822,1,anonymized,,
4,20160822,1,anonymized,,
5,20160823,1,anonymized,,
6,20160824,1,anonymized,,
7,20160825,1,anonymized,,
8,20160826,1,anonymized,,
9,20160902,1,anonymized,,
10,20160905,1,anonymized,,
11,20160904,1,anonymized,,
12,20160905,1,anonymized,,
13,20160905,1,anonymized,,
14,20160906,1,anonymized,,
15,20160906,1,anonymized,,
16,20160907,1,anonymized,,
17,20160907,1,anonymized,,
18,20160908,1,anonymized,,
19,20160909,1,anonymized,,
20,20160912,1,anonymized,,
21,20160912,1,anonymized,,TRUE
22,20160913,1,anonymized,,
23,20160913,1,anonymized,,TRUE
24,20160914,1,anonymized,,
25,20160914,1,anonymized,,TRUE
26,20160915,1,anonymized,,
27,20160915,1,anonymized,,TRUE
28,20160916,1,anonymized,,
29,20160916,1,anonymized,,TRUE
30,20160919,1,anonymized,,
31,20160919,1,anonymized,,TRUE
32,20160920,1,anonymized,,
33,20160920,1,anonymized,,TRUE
34,20160921,1,anonymized,,
35,20160921,1,anonymized,,TRUE
36,20160922,1,anonymized,,
37,20160922,1,anonymized,,TRUE
38,20160923,1,anonymized,,
39,20160923,1,anonymized,,TRUE
40,20160926,1,anonymized,,
41,20160927,1,anonymized,,
42,20160928,1,anonymized,,
43,20160929,1,anonymized,,
44,20160929,1,anonymized,,
45,20160930,1,anonymized,,
46,20161004,1,anonymized,,
47,20161004,1,anonymized,,
48,20161013,1,anonymized,,
49,20161014,1,anonymized,,
50,20161024,1,anonymized,,
51,20161025,1,anonymized,,
52,20161027,1,anonymized,,
53,20161101,1,anonymized,,
54,20161103,1,anonymized,,
55,20161111,1,anonymized,,
56,20161114,1,anonymized,,TRUE
57,20161114,1,anonymized,,
58,20161114,1,anonymized,,
59,20161115,1,anonymized,,TRUE
60,20161116,1,anonymized,,TRUE
61,20161117,1,anonymized,,TRUE
62,20161117,1,anonymized,,
63,20161118,1,anonymized,,TRUE
64,20161121,1,anonymized,,TRUE
65,20161122,1,anonymized,,TRUE
66,20161123,1,anonymized,,TRUE
67,20161124,1,anonymized,,TRUE
68,20161125,1,anonymized,,TRUE
69,20161129,1,anonymized,,
70,20161202,1,anonymized,,
71,20161205,1,anonymized,,
72,20161215,1,anonymized,,
73,20161220,1,anonymized,,
74,20161220,1,anonymized,,
75,20161221,1,anonymized,,
76,20161221,1,anonymized,,
77,20161221,1,anonymized,,
78,20170109,1,anonymized,,
79,20170112,1,anonymized,,
80,20170119,1,anonymized,,
81,20170119,1,anonymized,,
82,20170123,1,anonymized,,
83,20170124,1,anonymized,,
84,20170125,1,anonymized,,
85,20170201,1,anonymized,,
86,20170202,1,anonymized,,
87,20170213,1,anonymized,,
88,20170213,1,anonymized,,
89,20170214,1,anonymized,,
90,20170214,1,anonymized,,
91,20170215,1,anonymized,,
92,20170216,1,anonymized,,
93,20170216,1,anonymized,,
94,20170217,1,anonymized,,
95,20170217,1,anonymized,,
96,20170217,1,anonymized,,
97,20170221,1,anonymized,,
98,20170223,1,anonymized,,
99,20170320,1,anonymized,,
100,20170322,1,anonymized,,
101,20170330,1,anonymized,,
102,20170404,1,anonymized,,
103,20170405,1,anonymized,,
104,20170406,1,anonymized,,
105,20170406,1,anonymized,,
106,20170420,1,anonymized,,
107,20170426,1,anonymized,,
108,20170503,1,anonymized,,
109,20170507,1,anonymized,,
110,20170508,1,anonymized,,
111,20170508,1,anonymized,,TRUE
112,20170509,1,anonymized,,
113,20170509,1,anonymized,,TRUE
114,20170510,1,anonymized,,
115,20170510,1,anonymized,,TRUE
116,20170511,1,anonymized,,
117,20170512,1,anonymized,,
118,20170513,1,anonymized,,
119,20170516,1,anonymized,,
120,20170517,1,anonymized,,TRUE
121,20170518,1,anonymized,,TRUE
122,20170518,1,anonymized,,TRUE
123,20170519,1,anonymized,,TRUE
124,20170519,1,anonymized,,TRUE
125,20170519,1,anonymized,,
126,20170524,1,anonymized,,TRUE
127,20170526,1,anonymized,,TRUE
128,20170529,1,anonymized,,TRUE
129,20170530,1,anonymized,,TRUE
130,20170530,1,anonymized,,
131,20170530,1,anonymized,,
132,20170531,1,anonymized,,
133,20170531,1,anonymized,,TRUE
134,20170602,1,anonymized,,
135,20170602,1,anonymized,,
136,20170603,1,anonymized,,
137,20170814,1,anonymized,,
138,20170815,1,anonymized,,
139,20170816,1,anonymized,,
140,20170828,1,anonymized,,
141,20170829,1,anonymized,,
142,20170830,1,anonymized,,
143,20170831,1,anonymized,,
144,20170901,1,anonymized,,
145,20170904,1,anonymized,,
146,20170905,1,anonymized,,
147,20170906,1,anonymized,,
148,20170906,1,anonymized,,
149,20170911,1,anonymized,,TRUE
150,20170912,1,anonymized,,TRUE
151,20170913,1,anonymized,,TRUE
152,20170914,1,anonymized,,TRUE
153,20170915,1,anonymized,,TRUE
154,20170918,1,anonymized,,TRUE
155,20170919,1,anonymized,,TRUE
156,20170920,1,anonymized,,TRUE
157,20170921,1,anonymized,,TRUE
