MenuSID,Menu,DateSID,LocationSID,TotalWasteKgAvg,ModifiedTime,MainMenu
324,"Suikalelihakastike,perunat kaali-tomaatti-jääsalaatti-kurkku",20160801,1,,2021-01-18 09:24:58.060,Lihakastike
644,"Kesäkeitto / kasvissosekeitto,tuore leipä,maksamakkara",20160802,1,,2021-01-18 09:24:58.060,Kasviskeitto
1,"Kalamureke/-pihvi
perunasose,kiinankaali-kurkku-juustosalaatti",20160803,1,,2021-01-18 09:24:58.060,Kalamureke
780,"Broilerivuoka,
jäävuori-melonisalaatti",20160804,1,,2021-01-18 09:24:58.060,Broilerivuoka
366,"Jauhelihapihvi,perunat/muusi porkkanaraaste,lämpimät kasvikset",20160805,1,,2021-01-18 09:24:58.060,Jauhelihapihvi
325,"Broilerikastike,riisi/peruna
kaali-punakaali-ananassalaatti",20160808,1,,2021-01-18 09:24:58.060,Broilerikastike
645,"Kappalekala,perunat/muusi kastike,punajuuri,rapeasalaatti (jäävuori)",20160809,1,,2021-01-18 09:24:58.060,Kalaleike
2,"Riisi-ohrapuuro,mehukeitto
tuore leipä,leikkele,tuorepala",20160810,1,,2021-01-18 09:24:58.060,Puuro
781,"Makkara-/nakkikeitto,
tuore leipä,juusto,
tuorepala",20160811,1,,2021-01-18 09:24:58.060,Makkarakeitto
367,"Pinaattiohukaiset/
kasvispihvi,perunasose puolukka,kiinankaalisalaatti",20160812,1,,2021-01-18 09:24:58.060,Pinaattiohukaiset
326,"Kalakeitto,reissumies,leikkele,tuorepala",20160815,1,,2021-01-18 09:24:58.060,Kalakeitto
646,"Makaronilaatikko/lasagne,porkkanaraaste
",20160816,1,,2021-01-18 09:24:58.060,Makaronilaatikko
3,"Broileripatukka/
kalkkunapihvi,muusi
katrin salaatti (kaali)",20160817,1,,2021-01-18 09:24:58.060,Broilerinugetti
782,"Talon päivä jäävuorisalaatti
(esim. nakit ja perunasose,pyttipannu,tms.)",20160818,1,,2021-01-18 09:24:58.060,Talonpäiväjäävuorisalaatti
368,"Lihakastike,perunat kiinankaali-mandariinisalaatti",20160819,1,,2021-01-18 09:24:58.060,Lihakastike
327,"Lihapyörykät,
perunat/muusi,kastike,kaalisalaatti",20160822,1,,2021-01-18 09:24:58.060,Lihapyörykät
