StudentCountSID,SchoolYearSID,ClassID,Girls,Boys,Grade,ModifiedTime
1,1,7A,10,12,7,
2,1,7B,9,12,7,
3,1,7C,11,10,7,
4,1,7D,11,9,7,
5,1,7E,10,9,7,
6,1,7F,9,11,7,
7,1,7G,13,8,7,
8,1,7H,12,10,7,
9,1,7I,2,6,7,
10,1,7J,0,4,7,
11,1,8A,11,9,8,
12,1,8B,12,9,8,
13,1,8C,9,11,8,
14,1,8D,10,11,8,
15,1,8E,10,11,8,
16,1,8F,8,11,8,
17,1,8G,10,9,8,
18,1,8H,8,11,8,
19,1,8I,1,6,8,
20,1,8J,0,1,8,
21,1,8K Jopo,4,2,8,
22,1,9A,11,10,9,
23,1,9B,11,8,9,
24,1,9C,12,6,9,
25,1,9D,6,12,9,
26,1,9E,5,13,9,
27,1,9F,11,9,9,
28,1,9G,8,9,9,
29,1,9H,10,7,9,
30,1,9I,11,6,9,
31,1,9J,3,6,9,
32,1,9K,0,3,9,
33,2,7A,12,11,7,
34,2,7B,13,10,7,
35,2,7C,13,9,7,
36,2,7D,11,11,7,
37,2,7E,9,13,7,
38,2,7F,12,9,7,
39,2,7G,13,9,7,
40,2,7H,12,9,7,
41,2,7I,13,9,7,
42,2,7J,1,6,7,
43,2,7K,0,1,7,
44,2,7L,1,0,7,
45,2,7M,0,2,7,
46,2,8A,10,12,8,
47,2,8B,9,12,8,
48,2,8C,11,10,8,
49,2,8D,11,9,8,
50,2,8E,10,10,8,
51,2,8F,9,11,8,
52,2,8G,15,7,8,
53,2,8H,12,10,8,
54,2,8I,1,5,8,
55,2,8J,0,3,8,
56,2,8K,1,0,8,
57,2,8L,0,1,8,
70,2,9,1,1,9,
58,2,9A,12,9,9,
59,2,9B,11,9,9,
60,2,9C,8,11,9,
61,2,9D,10,11,9,
62,2,9E,10,11,9,
63,2,9F,8,11,9,
64,2,9G,10,9,9,
65,2,9H,7,10,9,
66,2,9I,1,5,9,
67,2,9J,0,1,9,
68,2,9K Jopo,7,2,9,
69,2,9L,0,3,9,
81,3,7,1,0,7,
71,3,7A,13,9,7,
72,3,7B,11,9,7,
73,3,7C,10,12,7,
74,3,7D,11,10,7,
75,3,7E,12,11,7,
76,3,7F,10,11,7,
77,3,7G,10,11,7,
78,3,7H,9,12,7,
79,3,7I,10,12,7,
80,3,7J,1,3,7,
82,3,8A,10,11,8,
83,3,8B,13,10,8,
84,3,8C,13,9,8,
85,3,8D,11,11,8,
86,3,8E,9,13,8,
87,3,8F,12,9,8,
88,3,8G,13,8,8,
89,3,8H,13,9,8,
90,3,8I,13,8,8,
91,3,8J,1,0,8,
92,3,8K,0,6,8,
93,3,8L,1,4,8,
94,3,8M,2,0,8,
95,3,9A,9,10,9,
96,3,9B,8,12,9,
97,3,9C,10,10,9,
98,3,9D,11,8,9,
99,3,9E,10,9,9,
100,3,9F,9,9,9,
101,3,9G,14,7,9,
102,3,9H,12,10,9,
103,3,9I,2,1,9,
104,3,9J,0,4,9,
105,3,9K Jopo,3,4,9,
106,3,9L,1,3,9,
107,3,9M,2,3,9,
108,4,7A,11,7,7,
109,4,7B,7,13,7,
110,4,7C,9,13,7,
111,4,7D,10,8,7,
112,4,7E,10,9,7,
113,4,7F,11,8,7,
114,4,7G,9,9,7,
115,4,7H,12,8,7,
116,4,7I,2,2,7,
117,4,7N,0,1,7,
118,4,8A,13,10,8,
119,4,8B,11,9,8,
120,4,8C,9,12,8,
121,4,8D,10,10,8,
122,4,8E,11,11,8,
123,4,8F,10,10,8,
124,4,8G,10,11,8,
125,4,8H,10,10,8,
126,4,8I,10,13,8,
127,4,8J,1,3,8,
128,4,8N,0,0,8,
129,4,9A,10,11,9,
130,4,9B,12,10,9,
131,4,9C,13,9,9,
132,4,9D,11,10,9,
133,4,9E,7,12,9,
134,4,9F,12,8,9,
135,4,9G,13,7,9,
136,4,9H,12,8,9,
137,4,9I,10,8,9,
138,4,9J Jopo,6,5,9,
139,4,9K,1,4,9,
140,4,9L,2,1,9,
141,4,9M,0,8,9,
142,4,9N,3,0,9,
146,8,7A,11,9,7,2021-01-28 09:03:15.957
147,8,7B,11,10,7,2021-01-28 09:03:15.957
148,8,7C,11,10,7,2021-01-28 09:03:15.957
149,8,7D,9,13,7,2021-01-28 09:03:15.957
150,8,7E,11,11,7,2021-01-28 09:03:15.957
151,8,7F,10,10,7,2021-01-28 09:03:15.957
