TimetableExtraSID,DateSID,LocationSID,PELessonBeforeLunchTurnout,HouseholdLessonBeforeLunchTurnout,ModifiedTime
1576,20180809,1,126,26,2021-03-24 08:10:34.137
1577,20180810,1,152,42,2021-03-24 08:10:34.137
1578,20180813,1,86,0,2021-03-24 08:10:34.137
1579,20180814,1,42,43,2021-03-24 08:10:34.137
1580,20180815,1,264,44,2021-03-24 08:10:34.137
1581,20180816,1,126,26,2021-03-24 08:10:34.137
1582,20180817,1,152,42,2021-03-24 08:10:34.137
1583,20180820,1,86,0,2021-03-24 08:10:34.137
1584,20180821,1,42,43,2021-03-24 08:10:34.137
1585,20180822,1,264,44,2021-03-24 08:10:34.137
1586,20180823,1,126,26,2021-03-24 08:10:34.137
1587,20180824,1,152,42,2021-03-24 08:10:34.137
1588,20180827,1,86,0,2021-03-24 08:10:34.137
1589,20180828,1,42,43,2021-03-24 08:10:34.137
1590,20180829,1,264,44,2021-03-24 08:10:34.137
1591,20180830,1,126,26,2021-03-24 08:10:34.137
1592,20180831,1,152,42,2021-03-24 08:10:34.137
1593,20180903,1,86,0,2021-03-24 08:10:34.137
1594,20180904,1,42,43,2021-03-24 08:10:34.137
1595,20180905,1,264,44,2021-03-24 08:10:34.137
1596,20180906,1,126,26,2021-03-24 08:10:34.137
1597,20180907,1,152,42,2021-03-24 08:10:34.137
1598,20180910,1,86,0,2021-03-24 08:10:34.137
1599,20180911,1,42,43,2021-03-24 08:10:34.137
1600,20180912,1,264,44,2021-03-24 08:10:34.137
1601,20180913,1,126,26,2021-03-24 08:10:34.137
1602,20180914,1,152,42,2021-03-24 08:10:34.137
1603,20180917,1,86,0,2021-03-24 08:10:34.137
1604,20180918,1,42,43,2021-03-24 08:10:34.137
1605,20180919,1,264,44,2021-03-24 08:10:34.137
1606,20180920,1,126,26,2021-03-24 08:10:34.137
1607,20180921,1,152,42,2021-03-24 08:10:34.137
1608,20180924,1,86,0,2021-03-24 08:10:34.137
1609,20180925,1,42,43,2021-03-24 08:10:34.137
1610,20180926,1,264,44,2021-03-24 08:10:34.137
1611,20180927,1,126,26,2021-03-24 08:10:34.137
1612,20180928,1,152,42,2021-03-24 08:10:34.137
1613,20181001,1,86,0,2021-03-24 08:10:34.137
1614,20181002,1,42,43,2021-03-24 08:10:34.137
1615,20181003,1,264,44,2021-03-24 08:10:34.137
1616,20181004,1,126,26,2021-03-24 08:10:34.137
1617,20181005,1,152,42,2021-03-24 08:10:34.137
1618,20181008,1,86,0,2021-03-24 08:10:34.137
1619,20181009,1,42,43,2021-03-24 08:10:34.137
1620,20181010,1,264,44,2021-03-24 08:10:34.137
1621,20181011,1,126,26,2021-03-24 08:10:34.137
1622,20181012,1,152,42,2021-03-24 08:10:34.137
1623,20181022,1,23,0,2021-03-24 08:10:34.137
1624,20181023,1,106,26,2021-03-24 08:10:34.137
1625,20181024,1,66,249,2021-03-24 08:10:34.137
1626,20181025,1,104,42,2021-03-24 08:10:34.137
1627,20181026,1,178,44,2021-03-24 08:10:34.137
1628,20181029,1,23,0,2021-03-24 08:10:34.137
1629,20181030,1,106,26,2021-03-24 08:10:34.137
1630,20181031,1,66,249,2021-03-24 08:10:34.137
1631,20181101,1,104,42,2021-03-24 08:10:34.137
1632,20181102,1,178,44,2021-03-24 08:10:34.137
1633,20181105,1,23,0,2021-03-24 08:10:34.137
1634,20181106,1,106,26,2021-03-24 08:10:34.137
1635,20181107,1,66,249,2021-03-24 08:10:34.137
1636,20181108,1,104,42,2021-03-24 08:10:34.137
1637,20181109,1,178,44,2021-03-24 08:10:34.137
1638,20181112,1,23,0,2021-03-24 08:10:34.137
1639,20181113,1,106,26,2021-03-24 08:10:34.137
1640,20181114,1,66,249,2021-03-24 08:10:34.137
1641,20181115,1,104,42,2021-03-24 08:10:34.137
1642,20181116,1,178,44,2021-03-24 08:10:34.137
1643,20181119,1,23,0,2021-03-24 08:10:34.137
1644,20181120,1,106,26,2021-03-24 08:10:34.137
1645,20181121,1,66,249,2021-03-24 08:10:34.137
1646,20181122,1,104,42,2021-03-24 08:10:34.137
1647,20181123,1,178,44,2021-03-24 08:10:34.137
1648,20181126,1,23,0,2021-03-24 08:10:34.137
1649,20181127,1,106,26,2021-03-24 08:10:34.137
1650,20181128,1,66,249,2021-03-24 08:10:34.137
1651,20181129,1,104,42,2021-03-24 08:10:34.137
1652,20181130,1,178,44,2021-03-24 08:10:34.137
1653,20181203,1,23,0,2021-03-24 08:10:34.137
1654,20181204,1,106,26,2021-03-24 08:10:34.137
1655,20181205,1,66,249,2021-03-24 08:10:34.137
1656,20181206,1,104,42,2021-03-24 08:10:34.137
1657,20181207,1,178,44,2021-03-24 08:10:34.137
1658,20181210,1,23,0,2021-03-24 08:10:34.137
1659,20181211,1,106,26,2021-03-24 08:10:34.137
1660,20181212,1,66,249,2021-03-24 08:10:34.137
1661,20181213,1,104,42,2021-03-24 08:10:34.137
1662,20181214,1,178,44,2021-03-24 08:10:34.137
1663,20181217,1,23,0,2021-03-24 08:10:34.137
1664,20181218,1,106,26,2021-03-24 08:10:34.137
1665,20181219,1,66,249,2021-03-24 08:10:34.137
1666,20181220,1,104,42,2021-03-24 08:10:34.137
1667,20181221,1,178,44,2021-03-24 08:10:34.137
1668,20190107,1,86,0,2021-03-24 08:10:34.137
1669,20190108,1,42,43,2021-03-24 08:10:34.137
1670,20190109,1,264,44,2021-03-24 08:10:34.137
1671,20190110,1,126,26,2021-03-24 08:10:34.137
1672,20190111,1,152,42,2021-03-24 08:10:34.137
1673,20190114,1,86,0,2021-03-24 08:10:34.137
1674,20190115,1,42,43,2021-03-24 08:10:34.137
1675,20190116,1,264,44,2021-03-24 08:10:34.137
1676,20190117,1,126,26,2021-03-24 08:10:34.137
1677,20190118,1,152,42,2021-03-24 08:10:34.137
1678,20190121,1,86,0,2021-03-24 08:10:34.137
1679,20190122,1,42,43,2021-03-24 08:10:34.137
1680,20190123,1,264,44,2021-03-24 08:10:34.137
1681,20190124,1,126,26,2021-03-24 08:10:34.137
1682,20190125,1,152,42,2021-03-24 08:10:34.137
1683,20190128,1,86,0,2021-03-24 08:10:34.137
1684,20190129,1,42,43,2021-03-24 08:10:34.137
1685,20190130,1,264,44,2021-03-24 08:10:34.137
1686,20190131,1,126,26,2021-03-24 08:10:34.137
1687,20190201,1,152,42,2021-03-24 08:10:34.137
1688,20190204,1,86,0,2021-03-24 08:10:34.137
1689,20190205,1,42,43,2021-03-24 08:10:34.137
1690,20190206,1,264,44,2021-03-24 08:10:34.137
1691,20190207,1,126,26,2021-03-24 08:10:34.137
1692,20190208,1,152,42,2021-03-24 08:10:34.137
1693,20190211,1,86,0,2021-03-24 08:10:34.137
1694,20190212,1,42,43,2021-03-24 08:10:34.137
1695,20190213,1,264,44,2021-03-24 08:10:34.137
1696,20190214,1,126,26,2021-03-24 08:10:34.137
1697,20190215,1,152,42,2021-03-24 08:10:34.137
1698,20190218,1,86,0,2021-03-24 08:10:34.137
1699,20190219,1,42,43,2021-03-24 08:10:34.137
1700,20190220,1,264,44,2021-03-24 08:10:34.137
1701,20190221,1,126,26,2021-03-24 08:10:34.137
1702,20190222,1,152,42,2021-03-24 08:10:34.137
1703,20190225,1,86,0,2021-03-24 08:10:34.137
