TimetableSID,DateSID,StartHour,EndHour,DayLen,PELesson,PELessonBeforeLunch,PELessonBeforeLunchTurnout,HouseholdLesson,HouseholdLessonBeforeLunch,HouseholdLessonBeforeLunchTurnout,LocationSID,ClassID,ModifiedTime
1,20180809,8,14,6,,,0,,,0,1,7A,
394,20180809,8,15,7,,,0,,,0,1,7B,
787,20180809,8,15,7,,,0,,,0,1,7C,
1180,20180809,8,15,7,1,,0,,,0,1,7D,
1573,20180809,8,15,7,,,0,,,0,1,7E,
1966,20180809,8,14,6,,,0,,,0,1,7F,
2359,20180809,8,15,7,,,0,,,0,1,7G,
2752,20180809,9,15,6,,,0,,,0,1,7H,
3145,20180809,8,15,7,1,,0,3,2,22,1,7I,
3538,20180809,9,15,6,,,0,3,2,4,1,7J,
3735,20180809,9,15,6,,,0,,,0,1,8A,
4128,20180809,9,15,6,,,0,,,0,1,8B,
4521,20180809,8,15,7,,,0,,,0,1,8C,
4914,20180809,8,15,7,,,0,,,0,1,8D,
5307,20180809,8,15,7,,,0,,,0,1,8E,
5700,20180809,8,15,7,,,0,,,0,1,8F,
6093,20180809,8,15,7,,,0,,,0,1,8G,
6486,20180809,8,15,7,,,0,,,0,1,8H,
6879,20180809,8,15,7,,,0,,,0,1,8I,
7272,20180809,8,15,7,,,0,,,0,1,8J,
7654,20180809,13,15,2,,,0,,,0,1,8K,
7792,20180809,13,15,2,,,0,,,0,1,8L,
7930,20180809,8,14,6,2,2,19,,,0,1,9A,
8323,20180809,8,15,7,2,2,20,,,0,1,9B,
8716,20180809,8,14,6,,,0,,,0,1,9C,
9109,20180809,8,14,6,,,0,,,0,1,9D,
9502,20180809,8,13,5,2,1,19,,,0,1,9E,
9895,20180809,8,14,6,2,1,18,,,0,1,9F,
10288,20180809,8,13,5,2,2,21,,,0,1,9G,
10681,20180809,8,15,7,2,2,22,,,0,1,9H,
11074,20180809,8,14,6,,,0,,,0,1,9I,
11467,20180809,10,12,2,,,0,,,0,1,9J,
11830,20180809,8,14,6,2,1,7,,,0,1,9K,
2,20180810,9,14,5,,,0,,,0,1,7A,
395,20180810,8,13,5,,,0,,,0,1,7B,
788,20180810,8,14,6,2,2,22,,,0,1,7C,
1181,20180810,8,14,6,2,2,21,,,0,1,7D,
1574,20180810,9,13,4,,,0,,,0,1,7E,
1967,20180810,8,14,6,,,0,,,0,1,7F,
2360,20180810,8,13,5,,,0,3,3,21,1,7G,
2753,20180810,9,13,4,,,0,3,3,21,1,7H,
3146,20180810,9,14,5,2,2,22,,,0,1,7I,
3539,20180810,8,14,6,1,1,4,,,0,1,7J,
3736,20180810,9,14,5,,,0,,,0,1,8A,
4129,20180810,8,14,6,,,0,,,0,1,8B,
4522,20180810,8,14,6,,,0,,,0,1,8C,
4915,20180810,8,14,6,,,0,,,0,1,8D,
5308,20180810,9,14,5,,,0,,,0,1,8E,
5701,20180810,8,14,6,1,1,21,,,0,1,8F,
