﻿WasteSID,DateSID,ProductionWasteKg,LineWasteKg,PlateWasteKg,LocationSID,MealCount,SpecialMealCount,MealTotal,Forecast_MealTotal,Forecast_SpecialMealCount,Forecast_MealCount,Forecast_ProductionWasteKg,Forecast_LineWasteKg,Forecast_PlateWasteKg,ModifiedTime,WeatherInfo,MealCountReserved,WasteTotalKg,Forecast_WasteTotalKg,Comment
37,20160809,,,,1,180,10,190,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
38,20160810,,,,1,467,52,519,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
39,20160811,,,,1,467,52,519,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
40,20160812,,,,1,461,55,516,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
41,20160815,,,,1,461,55,516,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
42,20160816,,,,1,461,55,516,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
43,20160817,,,,1,462,55,517,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
44,20160818,,,,1,461,55,516,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
45,20160819,,,,1,461,55,516,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
46,20160822,,,,1,461,55,516,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
47,20160823,,,,1,461,55,516,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
48,20160824,,,,1,461,55,516,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
49,20160825,,,,1,461,55,516,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
50,20160826,,,,1,461,55,516,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
51,20160829,,,,1,461,55,516,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
52,20160830,,,,1,461,55,516,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
53,20160901,,,,1,461,55,516,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
54,20160902,,,,1,461,55,516,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
55,20160905,,,,1,461,55,516,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
56,20160906,,,,1,461,55,516,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
57,20160907,,,,1,461,55,516,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
58,20160908,,,,1,461,55,516,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
59,20160909,,,,1,461,55,516,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
60,20160912,,,,1,411,40,451,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
61,20160913,,,,1,411,40,451,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
62,20160914,,,,1,411,40,451,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
63,20160915,,,,1,391,60,451,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
64,20160916,,,,1,411,40,451,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
65,20160919,,,,1,451,40,491,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
66,20160920,,,,1,411,40,451,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
67,20160921,,,,1,411,40,451,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
68,20160922,,,,1,411,40,451,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
69,20160923,,,,1,411,40,451,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
70,20160926,,,,1,461,55,516,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
71,20160927,,,,1,501,55,556,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
72,20160928,,,,1,461,55,516,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
73,20160929,,,,1,441,55,496,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
74,20160930,,,,1,461,55,516,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
75,20161003,,,,1,461,55,516,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
76,20161004,,,,1,461,55,516,,,,,,,2021-02-18 21:55:29.110,,,0.00,0.00,
